an1580,aadarsh,najarro,m,october 17 1995,seahawks,1,defensive_tackle,gillette_stadium,/bin/ksh
ag1161,aadi,gallego,m,april 24 1988,lions,32,upback,dignity_health_sports_park,/bin/csh
ad1371,aadish,draughon,m,november 4 1986,steelers,85,running_back,dignity_health_sports_park,/bin/ksh
at1947,aadvika,titus,f,february 29 1987,cowboys,97,kicker,gillette_stadium,/bin/ksh
al1195,aaralyn,loveland,f,november 15 1989,panthers,53,safety,oakland_alameda_county_coliseum,/bin/csh
am1756,aaryan,mansaray,m,november 12 1989,49ers,94,gunner,firstenergy_stadium,/bin/csh
ab1468,abagail,beckler,f,january 4 1991,bengals,41,punt_returner,dignity_health_sports_park,/bin/bash
av1769,abdirashid,violante,m,august 24 1993,jets,38,middle_linebacker,bank_of_america_stadium,/bin/csh
ac1268,abira,cannaday,f,july 4 1995,dolphins,43,offensive_tackle,mercedes_benz_stadium,/bin/tcsh
ah1001,ace,holl,f,february 13 1999,dolphins,9,tight_end,arrowhead_stadium,/bin/tcsh
am1174,acer,macchia,m,december 26 1989,lions,43,wide_receiver,metlife_stadium,/bin/tcsh
ah1150,adabelle,herdman,f,april 3 1992,buccaneers,8,quarterback,hard_rock_stadium,/bin/bash
aw1173,adalind,warnick,f,march 17 1993,lions,45,kickoff_specialist,new_era_field,/bin/ksh
ai1741,adalynne,isenhower,f,december 7 1995,cardinals,56,gunner,soldier_field,/bin/tcsh
af1519,adamariz,foote,f,april 26 1995,bills,15,outside_linebacker,centurylink_field,/bin/tcsh
ac1730,adayla,colquitt,f,august 29 1997,falcons,52,offensive_tackle,state_farm_stadium,/bin/ksh
ae1658,addalee,eisenhardt,f,august 7 1999,bengals,97,gunner,soldier_field,/bin/csh
at1744,adelle,teel,f,may 17 1988,jets,72,defensive_end,soldier_field,/bin/ksh
ab1471,adena,bellows,f,april 6 1999,49ers,41,offensive_guard,levis_stadium,/bin/csh
ar1076,adiana,runk,f,august 3 1988,broncos,58,wide_receiver,bank_of_america_stadium,/bin/bash
as1068,adien,saitta,m,december 2 1987,cowboys,85,Kick_returner,lucas_oil_stadium,/bin/ksh
aw1270,adon,wheelis,m,may 8 1994,chiefs,39,Kick_returner,gillette_stadium,/bin/tcsh
ab1633,adriaan,bodenhamer,m,february 5 1991,steelers,32,Kick_returner,nrg_stadium,/bin/ksh
av1405,adric,valliere,m,june 7 1997,chiefs,44,upback,oakland_alameda_county_coliseum,/bin/bash
ab1859,aela,bevins,f,august 28 1994,panthers,17,nickelback,centurylink_field,/bin/bash
av1968,aelish,valentin,f,october 25 1999,falcons,52,defensive_tackle,ford_field,/bin/bash
am1345,agape,meads,f,july 18 1991,49ers,85,punt_returner,soldier_field,/bin/csh
at1939,ahlena,tooley,f,june 23 1995,jaguars,74,defensive_tackle,broncos_stadium,/bin/ksh
ap1347,ahtziri,pesina,f,june 12 1997,eagles,7,cornerback,dignity_health_sports_park,/bin/tcsh
ab1898,ahyan,broadway,m,december 28 1995,cardinals,74,punter,hard_rock_stadium,/bin/csh
am1402,aidenjames,malec,m,december 15 1996,vikings,60,defensive_end,arrowhead_stadium,/bin/csh
al1507,aiiden,leopard,m,june 22 1990,bears,86,punt_returner,hard_rock_stadium,/bin/ksh
ap1034,aikam,pepin,m,october 23 1994,vikings,36,safety,att_stadium,/bin/csh
