rv1732,ramon,vivanco,m,september 15 1987,broncos,41,quarterback,nissan_stadium,/bin/ksh
sm1022,surina,moats,f,june 9 1993,bears,80,running_back,arrowhead_stadium,/bin/ksh
hb1684,holli,bekker,f,march 12 1998,eagles,92,long_snapper,dignity_health_sports_park,/bin/bash
mk1511,matson,khong,m,may 24 1986,eagles,51,wide_receiver,arrowhead_stadium,/bin/csh
am1776,azarius,morelos,m,may 25 1987,jets,17,nickelback,mt_bank_stadium,/bin/csh
ms1304,maximiliano,santillanes,m,december 21 1990,chargers,91,defensive_tackle,ford_field,/bin/bash
ha1391,hamdan,argo,m,december 17 1992,broncos,13,dimeback,us_bank_stadium,/bin/ksh
bc1949,benjamin,carbone,f,september 12 1986,cardinals,51,upback,paul_brown_stadium,/bin/tcsh
ao1501,avyansh,obanion,m,june 5 1990,lions,8,cornerback,mercedes_benz_stadium,/bin/ksh
pb1789,pavle,bobb,m,december 26 1987,dolphins,40,punt_returner,los_angeles_memorial_coliseum,/bin/tcsh
bt1503,baylen,tomczyk,f,june 2 1996,colts,2,Kick_returner,lincoln_financial_field,/bin/tcsh
cw1460,carlson,wilcoxson,m,june 24 1988,cowboys,25,running_back,los_angeles_memorial_coliseum,/bin/ksh
da1088,daley,angelos,f,october 18 1999,colts,15,running_back,firstenergy_stadium,/bin/csh
jw1964,jermia,whelan,f,august 30 1997,texans,24,nickelback,soldier_field,/bin/ksh
rr1643,riven,rives,f,october 16 1989,bills,59,defensive_end,broncos_stadium,/bin/ksh
ng1388,nallah,gillian,f,august 1 1995,redskins,93,long_snapper,oakland_alameda_county_coliseum,/bin/tcsh
js1300,jannat,spell,f,june 13 1991,buccaneers,58,punter,dignity_health_sports_park,/bin/csh
ya1112,yamilex,aquilino,f,january 9 1985,falcons,35,tight_end,mercedes_benz_stadium,/bin/csh
dh1529,dewey,hartsell,m,march 19 1987,redskins,68,safety,arrowhead_stadium,/bin/ksh
kv1470,kanishka,vallone,f,february 13 1992,redskins,41,quarterback,oakland_alameda_county_coliseum,/bin/csh
ik1644,ilia,klages,f,february 26 1996,chargers,38,running_back,us_bank_stadium,/bin/bash
ab1829,anylah,babers,f,april 21 1998,patriots,6,defensive_end,centurylink_field,/bin/bash
uc1722,uilliam,cornman,m,october 9 1993,broncos,95,safety,mercedes_benz_stadium,/bin/csh
le1181,linkon,essary,m,june 2 1987,ravens,7,upback,att_stadium,/bin/ksh
bm1317,bostyn,millspaugh,m,april 29 1992,cardinals,39,jammer,lambeau_field,/bin/bash
jb1595,joshuan,bernabe,m,september 15 1990,colts,57,running_back,hard_rock_stadium,/bin/tcsh
jg1253,jayda,ganoe,f,july 7 1992,jaguars,56,outside_linebacker,att_stadium,/bin/csh
jm1707,julieth,mims,f,june 18 1985,giants,80,punt_returner,state_farm_stadium,/bin/tcsh
ws1464,wendell,schneider,m,may 16 1990,broncos,24,upback,hard_rock_stadium,/bin/csh
mt1778,macen,terrill,m,december 22 1996,colts,26,offensive_guard,new_era_field,/bin/csh
co1923,carsen,oberlin,m,february 23 1985,chiefs,97,defensive_tackle,mercedes_benz_stadium,/bin/csh
kw1794,kamani,wilkinson,f,july 27 1995,giants,27,tight_end,soldier_field,/bin/bash
ak1435,amiyrah,kidder,f,march 24 1998,ravens,31,wide_receiver,los_angeles_memorial_coliseum,/bin/csh
ap1589,areebah,paddock,f,june 16 1987,jaguars,40,defensive_end,new_era_field,/bin/bash
ac1557,armand,conigliaro,m,may 23 1996,bills,92,defensive_tackle,arrowhead_stadium,/bin/bash
km1794,kaylea,moses,f,august 19 1994,seahawks,56,cornerback,soldier_field,/bin/ksh
mg1554,matthews,gavidia,m,january 30 1991,chiefs,79,offensive_tackle,att_stadium,/bin/csh
